orientador,departamento,unidade,centro,total_planos,total_vagas_remuneradas,areas_cnpq,codigos_projetos,editais,ids_oportunidades,titulos_planos
ABELARDO SILVA JUNIOR,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,2,0.0,Saúde Coletiva; Biotecnologia,PVCB4895-2026; PVCB4755-2026,Edital 01 Pibic Ufal 2026-2027; Edital 03 Pibiti Ufal 2026-2027,98379819; 98379994,Monitoramento sorológico da circulação do vírus Oropouche em Alagoas por meio de ELISA: subsídios para vigilância e resposta em saúde pública | Mapeamento e Avaliação Antigênica de Epítopos de Proteínas Estruturais do Vírus Oropouche
ADRIANA AVILA MOURA,FACULDADE DE MEDICINA,FAMED,FAMED,4,0.0,Medicina,PVFM4763-2026,Edital 01 Pibic Ufal 2026-2027,98379721; 98379723; 98379724; 98379725,"Coleta, organização e análise preliminar dos laudos anatomopatológicos de tuberculose extrapulmonar em Alagoas | Classificação anatomopatológica e estruturação da base de dados da tuberculose extrapulmonar para análise estatística | Assistência técnica à revisão sistemática e à organização dos dados sobre tuberculose extrapulmonar em Alagoas | Auxílio na análise descritiva e elaboração de relatórios preliminares sobre o perfil anatomopatológico e demográfico da tuberculose extrapulmonar"
ALESSANDRA ABEL BORGES,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,2,0.0,Microbiologia,PVCB5187-2026,Edital 01 Pibic Ufal 2026-2027,98380604; 98380609,"Perfil epidemiológico e investigação sorológica do histórico de infecção por Chikungunya em pacientes com quadro de linfedema e/ou linfangite crônico de membros inferiores atendidos no HUPAA | Pesquisa de anticorpos soroneutralizantes contra o vírus Chikungunya em amostras de soro de pacientes com quadro de linfedema crônico, suspeito de sequela tardia de chikungunya, atendidos no HUPAA."
ALEXANDRE URBAN BORBELY,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,2,4.0,Morfologia,PVCB5136-2026; PVCB5015-2026,Edital 01 Pibic Ufal 2026-2027; Edital 02 Pibic Ações Afirmativas Ufal 2026-2027,98380478; 98380522,Mudanças histológicas de placentas expostas a microplásticos de poliestireno ex vivo | Padronização do isolamento e cultura de células endoteliais placentárias para exposição a microplásticos in vitro
AMANDA LYS DOS SANTOS SILVA,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,3,3.0,Microbiologia,PICB5357-2026,Edital 01 Pibic Ufal 2026-2027,98380963; 98380981; 98381000,"BIOPROSPECÇÃO DE FUNGOS FILAMENTOSOS AQUÁTICOS EM ÁREAS DE MANGUEZAL EM MACEIÓ - AL | Potencial enzimático de fungos de manguezal e estratégias de divulgação científica em microbiologia ambiental | Estado da arte sobre fungos de manguezais: diversidade, ecologia e aplicações biotecnológicas"
ANA CLAUDIA MENDES MALHADO,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,2,0.0,Ecologia,PVCB4975-2026; PVCB4945-2026,Edital 03 Pibiti Ufal 2026-2027; Edital 01 Pibic Ufal 2026-2027,98380103; 98380163,Teatro Ambiental Interativo: Fantoches e Narrativas do Litoral ao Sertão para Educação Ambiental Infantil | Do Litoral ao Sertão: Animação e Inovação para a Educação Ambiental
ANA PAULA FERNANDES BARBOSA,FACULDADE DE MEDICINA,FAMED,FAMED,6,0.0,Medicina,PVFM4982-2026; PVFM4980-2026,Edital 02 Pibic Ações Afirmativas Ufal 2026-2027; Edital 01 Pibic Ufal 2026-2027,98380166; 98380167; 98380168; 98380169; 98380171; 98380172,"Coleta, organização e análise preliminar dos dados laboratoriais de detecção do HPV por DNA-PCR | Classificação dos genótipos de HPV e estruturação da base de dados para análise epidemiológica | Assistência técnica à coleta e organização de dados laboratoriais de DNA-HPV | Auxílio na análise epidemiológica preliminar e elaboração de relatórios científicos sobre os dados de DNA-HPV | Levantamento bibliográfico, organização metodológica e seleção dos estudos sobre rastreamento do câncer do colo do útero por DNA-HPV no SUS | Extração, análise e síntese das evidências científicas sobre a implementação do rastreamento por DNA-HPV no SUS"
ANDREA MARQUES VANDERLEI FREGADOLLI,FACULDADE DE MEDICINA,FAMED,FAMED,2,0.0,Educação,PVFM5414-2026,Edital 01 Pibic Ufal 2026-2027,98381072; 98381085,"Avaliação da Prontidão Educacional-Regulatória do Jogo “Rede de Proteção Contra Violência Vicária” por meio da metodologia MIREJ-IN® | Aplicação da metodologia MIREJ-IN® no jogo “Duas Casas, Um Coração” para análise de segurança, inclusão e adequação regulatória"
ANDREIA ESPINDOLA VIEIRA RIBEIRO,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,4,0.0,Odontologia,PVCB5585-2026,Edital 01 Pibic Ufal 2026-2027,98381708; 98381717; 98381727; 98381736,Identificar as principais alterações craniofaciais descritas em pacientes com Síndrome de Turner | Avaliar as principais condições orais identificadas na Síndrome de Turner | Investigar possíveis associações entre cariótipo e fenótipo craniofacial na Síndrome de Turner | Analisar os métodos diagnósticos utilizados nos estudos e Sintetizar as evidências científicas disponíveis para aplicação clínica interdisciplinar.
AUXILIADORA DAMIANNE PEREIRA VIEIRA DA COSTA E SILVA,FACULDADE DE MEDICINA,FAMED,FAMED,4,0.0,Medicina,PVFM4689-2026,Edital 01 Pibic Ufal 2026-2027,98379538; 98379540; 98379543; 98379544,"Execução da busca sistemática, gerenciamento de referências e triagem inicial de estudos sobre bronquiolite viral | Avaliação de elegibilidade na íntegra e extração padronizada de dados de estudos sobre bronquiolite viral | Avaliação do risco de viés e síntese das evidências sobre bronquiolite associada a rinovírus e vírus sincicial respiratório | Redação científica e disseminação dos resultados da revisão sistemática sobre bronquiolite viral"
CAROLINNE DE SALES MARQUES,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,4,4.0,Genética,PVCB5121-2026,Edital 01 Pibic Ufal 2026-2027,98380502; 98380506; 98380507; 98380509,"INVESTIGAÇÃO DA RELAÇÃO ENTRE O SNP RS13064994 DO GENE MASP1, A PROTEÍNA MBL E A OCORRÊNCIA DE HANSENÍASE EM ALAGOAS | IMPACTO DE SNPS DO GENE CHGB NA SUSCETIBILIDADE À HANSENÍASE: UMA ANÁLISE DE ASSOCIAÇÃO | Associação do SNP rs181206 no gene IL27 com a hanseníase e sua correlação com parâmetros funcionais | DETERMINANTES SOCIAIS DA SAÚDE, GENÉTICA E HANSENÍASE: ASSOCIAÇÃO DA COR/RAÇA, RENDA, ANCESTRALIDADE GENÉTICA E DO GENE IL12B (RS6871626) COM A HANSENÍASE EM UMA POPULAÇÃO DE ALAGOAS"
CLAUDIO FERNANDO RODRIGUES SORIANO,FACULDADE DE MEDICINA,FAMED,FAMED,2,0.0,Medicina,PVFM4867-2026,Edital 01 Pibic Ufal 2026-2027,98379931; 98379935,"Revisão integrativa: Seleção de estudos, agrupamento baseado em variáveis e síntese das evidências científicas. | Desenvolvimento da estratégia de busca, selecionar os artigos e leitura comparativa."
DANIEL LEITE GOES GITAI,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,4,4.0,Genética,PVCB5353-2026,Edital 01 Pibic Ufal 2026-2027,98380998; 98381009; 98381017; 98381022,Investigação Integrativa e Validação dos Alvos do miR-31-5p na Epileptogênese | Investigação Integrativa e Validação dos Alvos do miR-10b-5p na Epileptogênese | Investigação Sistêmica e Validação dos Alvos do miR-142-5p na Epileptogênese | Investigação Sistêmica e Validação dos Alvos do miR-451a na Epileptogênese
