topic_id,label,top_terms_json,analyzed_at
0,servicos / coinfeccao tuberculose/hiv / tuberculose/hiv,"[""servicos"",""coinfeccao tuberculose/hiv"",""tuberculose/hiv"",""coinfeccao"",""desigualdades"",""saude"",""acesso"",""tuberculose"",""sociais"",""sistema unico""]",2026-09-04T06:34:12+00:00
1,eb / pacientes eb / bolhosa,"[""eb"",""pacientes eb"",""bolhosa"",""epidermolise"",""epidermolise bolhosa"",""microbioma"",""nanoprodutos"",""microbiota intestinal"",""feridas"",""feridas cutaneas""]",2026-09-04T06:34:12+00:00
2,mellonella / experimental / larvas mellonella,"[""mellonella"",""experimental"",""larvas mellonella"",""neuronal"",""larvas"",""galleria mellonella"",""galleria"",""hemocitos"",""estresse"",""drosophila""]",2026-09-04T06:34:12+00:00
3,apa / costa / corais,"[""apa"",""costa"",""corais"",""costa corais"",""apa costa"",""especies"",""ecossistemas"",""conservacao"",""costeiros"",""ecologia""]",2026-09-04T06:34:12+00:00
4,saude unica / toxoplasmose / gondii,"[""saude unica"",""toxoplasmose"",""gondii"",""solo"",""contaminacao"",""unica"",""mesorregioes"",""infectantes"",""toxoplasma"",""toxoplasma gondii""]",2026-09-04T06:34:12+00:00
5,desfechos / pulso / arterial,"[""desfechos"",""pulso"",""arterial"",""onda pulso"",""onda"",""desfechos clinicos"",""metanalise"",""vop"",""revisao sistematica"",""sistematica metanalise""]",2026-09-04T06:34:12+00:00
6,esquistossomose / mansoni / ovos,"[""esquistossomose"",""mansoni"",""ovos"",""doentes"",""cercaria"",""hospedeiro"",""endemicas"",""parasitos"",""moluscos"",""homem""]",2026-09-04T06:34:12+00:00
7,mps / placenta / poliestireno,"[""mps"",""placenta"",""poliestireno"",""particulas"",""mps poliestireno"",""vilosidades"",""placentaria"",""corionicas"",""vilosidades corionicas"",""perfusao""]",2026-09-04T06:34:12+00:00
8,macrofagos / uvaol / ativacao,"[""macrofagos"",""uvaol"",""ativacao"",""celulas"",""tgf-"",""estimulados"",""anti-inflamatorios"",""pro-inflamatorios"",""mediadores"",""thp-1""]",2026-09-04T06:34:12+00:00
9,laudos / dna-hpv / bolsista,"[""laudos"",""dna-hpv"",""bolsista"",""hpv"",""classificacao"",""coleta organizacao"",""elaboracao tabelas"",""colo"",""cancer colo"",""colo utero""]",2026-09-04T06:34:12+00:00
10,leveduras / biotecnologicas / biotecnologia,"[""leveduras"",""biotecnologicas"",""biotecnologia"",""culturas"",""leveduras biodiversidade"",""diversidade biotecnologia"",""laboratorio diversidade"",""agricola"",""caatinga"",""crescimento vegetal""]",2026-09-04T06:34:12+00:00
11,lucidum / pval / dermocosmetico,"[""lucidum"",""pval"",""dermocosmetico"",""dermatoses"",""cogumelo"",""formulacoes"",""antimicrobiana"",""cogumelos"",""dermocosmeticos"",""ganoderma lucidum""]",2026-09-04T06:34:12+00:00
12,ensino / educacao / pedagogicas,"[""ensino"",""educacao"",""pedagogicas"",""ensino biologia"",""aprendizagem"",""professores"",""pedagogica"",""educacionais"",""educacao basica"",""temas""]",2026-09-04T06:34:12+00:00
13,virus / orov / oropouche,"[""virus"",""orov"",""oropouche"",""virus oropouche"",""anticorpos"",""viral"",""elisa"",""oropouche orov"",""febre oropouche"",""epitopos""]",2026-09-04T06:34:12+00:00
