id_opportunity,status,raw_status,applied_at,synced_at
98379721,applied,applied,2026-09-02T22:51:33.173194,2026-09-04T05:11:57+00:00
98379723,applied,applied,2026-09-02T22:51:43.179605,2026-09-04T05:11:57+00:00
98379724,applied,applied,2026-09-02T22:51:53.399483,2026-09-04T05:11:57+00:00
98379725,applied,applied,2026-09-02T22:52:04.033707,2026-09-04T05:11:57+00:00
98380166,applied,applied,2026-09-02T22:52:14.542249,2026-09-04T05:11:57+00:00
98380167,applied,applied,2026-09-02T22:52:24.887758,2026-09-04T05:11:57+00:00
98380168,applied,applied,2026-09-02T22:52:35.333531,2026-09-04T05:11:57+00:00
98380169,applied,applied,2026-09-02T22:52:46.114472,2026-09-04T05:11:57+00:00
98380171,applied,applied,2026-09-02T22:52:56.555299,2026-09-04T05:11:57+00:00
98380172,applied,applied,2026-09-02T22:53:06.747421,2026-09-04T05:11:57+00:00
98381072,applied,applied,2026-09-02T22:53:17.316878,2026-09-04T05:11:57+00:00
98381085,applied,applied,2026-09-02T22:53:28.264401,2026-09-04T05:11:57+00:00
98379538,applied,applied,2026-09-02T22:53:38.574485,2026-09-04T05:11:57+00:00
98379540,applied,applied,2026-09-02T22:53:48.871390,2026-09-04T05:11:57+00:00
98379543,applied,applied,2026-09-02T22:53:58.965495,2026-09-04T05:11:57+00:00
98379544,applied,applied,2026-09-02T22:54:09.375125,2026-09-04T05:11:57+00:00
98379931,applied,applied,2026-09-02T22:54:19.609780,2026-09-04T05:11:57+00:00
98379935,applied,applied,2026-09-02T22:54:29.757405,2026-09-04T05:11:57+00:00
98380396,applied,applied,2026-09-02T22:54:39.667047,2026-09-04T05:11:57+00:00
98380399,applied,applied,2026-09-02T22:54:49.557099,2026-09-04T05:11:57+00:00
98380407,applied,applied,2026-09-02T22:54:59.448252,2026-09-04T05:11:57+00:00
98381332,applied,applied,2026-09-02T22:55:09.905500,2026-09-04T05:11:57+00:00
98381337,applied,applied,2026-09-02T22:55:19.919067,2026-09-04T05:11:57+00:00
98381339,applied,applied,2026-09-02T22:55:29.948138,2026-09-04T05:11:57+00:00
98381346,applied,applied,2026-09-02T22:55:40.107997,2026-09-04T05:11:57+00:00
98381290,applied,applied,2026-09-02T22:55:50.582975,2026-09-04T05:11:57+00:00
98381298,applied,applied,2026-09-02T22:56:00.823040,2026-09-04T05:11:57+00:00
98381302,applied,applied,2026-09-02T22:56:11.190460,2026-09-04T05:11:57+00:00
