table_name,column_name,data_type,is_nullable,ordinal_position
analysis_documents,entity_type,VARCHAR,YES,1
analysis_documents,entity_id,VARCHAR,YES,2
analysis_documents,document_text,VARCHAR,YES,3
analysis_documents,document_hash,VARCHAR,YES,4
analysis_documents,built_at,VARCHAR,YES,5
analysis_scores,entity_type,VARCHAR,YES,1
analysis_scores,entity_id,VARCHAR,YES,2
analysis_scores,tfidf_similarity,DOUBLE,YES,3
analysis_scores,lsa_similarity,DOUBLE,YES,4
analysis_scores,bm25_similarity,DOUBLE,YES,5
analysis_scores,combined_score,DOUBLE,YES,6
analysis_scores,cluster_id,BIGINT,YES,7
analysis_scores,x,DOUBLE,YES,8
analysis_scores,y,DOUBLE,YES,9
analysis_scores,analyzed_at,VARCHAR,YES,10
analysis_topics,topic_id,BIGINT,YES,1
analysis_topics,label,VARCHAR,YES,2
analysis_topics,top_terms_json,VARCHAR,YES,3
analysis_topics,analyzed_at,VARCHAR,YES,4
applications,id_opportunity,VARCHAR,NO,1
applications,status,VARCHAR,YES,2
applications,raw_status,VARCHAR,YES,3
applications,applied_at,VARCHAR,YES,4
applications,synced_at,VARCHAR,YES,5
campaign_messages,campaign_id,VARCHAR,YES,1
campaign_messages,siape,VARCHAR,YES,2
campaign_messages,subject,VARCHAR,YES,3
campaign_messages,body,VARCHAR,YES,4
campaign_messages,is_customized,BOOLEAN,YES,5
campaign_messages,status,VARCHAR,YES,6
campaign_messages,rendered_at,VARCHAR,YES,7
campaign_messages,sent_at,VARCHAR,YES,8
campaign_messages,provider_message_id,VARCHAR,YES,9
campaign_messages,error,VARCHAR,YES,10
campaign_recipients,campaign_id,VARCHAR,YES,1
campaign_recipients,siape,VARCHAR,YES,2
campaign_recipients,professor_name,VARCHAR,YES,3
campaign_recipients,email,VARCHAR,YES,4
campaign_recipients,qualifying_evidence_json,VARCHAR,YES,5
campaign_recipients,selection_score,DOUBLE,YES,6
campaign_recipients,selected,BOOLEAN,YES,7
campaign_recipients,created_at,VARCHAR,YES,8
campaigns,campaign_id,VARCHAR,NO,1
campaigns,name,VARCHAR,YES,2
campaigns,audience_query_json,VARCHAR,YES,3
campaigns,subject_template,VARCHAR,YES,4
campaigns,body_template,VARCHAR,YES,5
campaigns,status,VARCHAR,YES,6
campaigns,created_at,VARCHAR,YES,7
campaigns,updated_at,VARCHAR,YES,8
collaboration_edges,source_siape,VARCHAR,YES,1
collaboration_edges,target_siape,VARCHAR,YES,2
collaboration_edges,collaborator_name,VARCHAR,YES,3
collaboration_edges,weight,BIGINT,YES,4
collaboration_edges,calculated_at,VARCHAR,YES,5
entity_topics,entity_type,VARCHAR,YES,1
entity_topics,entity_id,VARCHAR,YES,2
entity_topics,topic_id,BIGINT,YES,3
entity_topics,weight,DOUBLE,YES,4
entity_topics,analyzed_at,VARCHAR,YES,5
