column_name,column_type,null,key,default,extra
id_opportunity,VARCHAR,NO,PRI,,
project_code,VARCHAR,YES,,,
project_title,VARCHAR,YES,,,
plan_title,VARCHAR,YES,,,
professor_siape,VARCHAR,YES,,,
professor_name,VARCHAR,YES,,,
vacancies_text,VARCHAR,YES,,,
funded_slots,BIGINT,YES,,,
has_funding,BOOLEAN,YES,,,
funding_basis,VARCHAR,YES,,,
unit,VARCHAR,YES,,,
department,VARCHAR,YES,,,
center,VARCHAR,YES,,,
large_area,VARCHAR,YES,,,
area,VARCHAR,YES,,,
edital,VARCHAR,YES,,,
quota,VARCHAR,YES,,,
status,VARCHAR,YES,,,
has_apply_link,BOOLEAN,YES,,,
has_details_link,BOOLEAN,YES,,,
details_collected,BOOLEAN,YES,,,
introduction_justification,VARCHAR,YES,,,
objectives,VARCHAR,YES,,,
methodology,VARCHAR,YES,,,
acquired_skills,VARCHAR,YES,,,
references_text,VARCHAR,YES,,,
discovered_at,VARCHAR,YES,,,
updated_at,VARCHAR,YES,,,
applied_at,VARCHAR,YES,,,
