project_code,title,area,first_seen_at,last_seen_at
PVFM4763-2026,PERFIL ANATOMOPATOLÓGICO E DEMOGRÁFICO DA TUBERCULOSE EXTRAPULMONAR EM ALAGOAS: REVISÃO SISTEMÁTICA E ANÁLISE DE LAUDOS HISTOPATOLÓGICOS,Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM4980-2026,DETECÇÃO DO HPV POR DNA-PCR EM ALAGOAS: REVISÃO SISTEMÁTICA E AVALIAÇÃO EPIDEMIOLÓGICA EM UM SERVIÇO DE SAÚDE PRIVADO,Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM4982-2026,"Implementação do rastreamento do câncer do colo do útero por DNA-HPV no SUS: desafios, impactos e perspectivas — revisão integrativa",Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5414-2026,AVALIAÇÃO E ADEQUAÇÃO REGULATÓRIA DE JOGOS EDUCATIVOS FÍSICOS POR MEIO DA METODOLOGIA MIREJ-IN® VISANDO PRONTIDÃO EDUCACIONAL-REGULATÓRIA E CERTIFICAÇÃO,Educação,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM4689-2026,"Infecção por rinovírus versus vírus sincicial respiratório na primeira infância e gravidade clínica da bronquiolite: impacto na hospitalização, necessidade de suporte ventilatório e papel da coinfecção - uma revisão sistemática",Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM4867-2026,O USO DE VENTILAÇÃO NÃO INVASIVA EM EMERGÊNCIAS PEDIÁTRICAS: UMA REVISÃO INTEGRATIVA,Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5022-2026,Integração de Biomarcadores Fenômicos e Genômicos para Mitigar a Odisseia Diagnóstica e Otimizar o Prognóstico de Doenças Raras – ciclo 2026/2027,Genética,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVIC5525-2026,Desenvolvimento e Avaliação de um Módulo de Feedback para Sistemas Tutores Inteligentes Desplugados no Ensino de Matemática dos Anos Iniciais,Educação,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVIC5508-2026,Avaliação Pedagógica de Questões Matemáticas Geradas por LLMs Leves e Apoio à Validação de Aplicativo Educacional Offline,Educação,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5532-2026,Cárie dentária e desigualdades em saúde em crianças e adolescentes do estado de Alagoas,Odontologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5522-2026,"PegaSUS: infraestrutura computacional para integração semântica, modelagem matemática e exploração epidemiológica em dados públicos do SUS e do IBGE",Saúde Coletiva,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5600-2026,Vazios de Reperfusão: Distância Geográfica ao Centro de Hemodinâmica e Mortalidade por Infarto Agudo do Miocárdio nos Municípios Alagoanos,Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM4712-2026,ANÁLISE DA ONDA DE PULSO COMO MARCADOR PRECOCE DE ALTERAÇÕES VASCULARES NA GESTAÇÃO: ESTUDO EM PACIENTES DE UM HOSPITAL UNIVERSITÁRIO,Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM4723-2026,Biomarcadores hemodinâmicos não invasivos na predição de pré-eclâmpsia: revisão sistemática,Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5226-2026,Prevalência da alergia alimentar em crianças em idade pré-escolar e escolar que são acompanhadas no Hospital Universitário Professor Alberto Antunes,Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PIFM5548-2026,"Valor Prognóstico da Velocidade de Onda de Pulso em Pacientes Submetidos à 
Revascularização Miocárdica: Revisão Sistemática e Metanálise",Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5539-2026,PERFIL DAS MULHERES COM LESÕES PRECURSORAS E CÂNCER DO ENDOMÉTRIO NO ESTADO DE ALAGOAS: ELABORAÇÃO DE UM PROTOCOLO DE INTERVENÇÃO NO SISTEMA ÚNICO DE SAÚDE,Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM4795-2026,AVALIAÇÃO DE OFICINAS DE LETRAMENTO EM SAÚDE SOBRE ALBINISMO NO SUS: UM ESTUDO PRÉ E PÓS-INTERVENÇÃO EM MUNICÍPIOS ALAGOANOS,Saúde Coletiva,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5141-2026,Remissão histológica definida pelo Índice de Nancy e desfechos clínicos na retocolite ulcerativa: revisão sistemática e metanálise,Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5400-2026,"Análise multidimensional dos fatores relacionados à saúde física, mental e social de escolares brasileiros a partir da Pesquisa Nacional de Saúde do Escolar - PeNSE 2024",Saúde Coletiva,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PIFM5546-2026,ASPECTOS BIOÉTICOS DO USO DA INTELIGÊNCIA ARTIFICIAL NA TOMADA DE DECISÃO CLÍNICA: UMA REVISÃO SISTEMÁTICA,Saúde Coletiva,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5162-2026,"Coinfecção tuberculose/HIV no Brasil (2020-2024): perspectivas epidemiológicas, sociais e programáticas",Saúde Coletiva,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5250-2026,Desenvolvimento de plataforma interativa para geoprocessamento da coinfecção tuberculose/HIV em Alagoas: inovação tecnológica aplicada à vigilância em saúde,Saúde Coletiva,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5166-2026,"Tuberculose em Alagoas: análise epidemiológica, vulnerabilidades sociais e desafios programáticos no Sistema Único de Saúde",Saúde Coletiva,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5320-2026,"Exercita Rim - Treinamento de Força pré sessões de diálise em pacientes do SUS com
Hipertensão Arterial e Doença Renal Crônica",Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
