column_name,column_type,null,key,default,extra
model_id,VARCHAR,YES,,,
entity_type,VARCHAR,YES,,,
entity_id,VARCHAR,YES,,,
domain_word,DOUBLE,YES,,,
domain_char,DOUBLE,YES,,,
domain_lsa,DOUBLE,YES,,,
domain_bm25f,DOUBLE,YES,,,
domain_fit,DOUBLE,YES,,,
method_word,DOUBLE,YES,,,
method_char,DOUBLE,YES,,,
method_lsa,DOUBLE,YES,,,
method_bm25f,DOUBLE,YES,,,
method_fit,DOUBLE,YES,,,
skill_word,DOUBLE,YES,,,
skill_char,DOUBLE,YES,,,
skill_lsa,DOUBLE,YES,,,
skill_bm25f,DOUBLE,YES,,,
skill_fit,DOUBLE,YES,,,
combined_fit,DOUBLE,YES,,,
cluster_id,BIGINT,YES,,,
x,DOUBLE,YES,,,
y,DOUBLE,YES,,,
analyzed_at,VARCHAR,YES,,,
