model_id,space,topic_id,label,top_terms_json,diagnostics_json,analyzed_at
semv2-efe88180e47a6fc1,domain,0,servicos / coinfeccao tuberculose/hiv / tuberculose/hiv,"[""servicos"",""coinfeccao tuberculose/hiv"",""tuberculose/hiv"",""coinfeccao"",""desigualdades"",""saude"",""acesso"",""tuberculose"",""sociais"",""sistema unico""]","{""space_diagnostics"":{""candidates"":[{""k"":6,""selection_score"":0.7613326932091351,""npmi"":0.4796716654853286,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.10265573408046202,""dominant_support"":[22,5,18,25,2,17]},{""k"":7,""selection_score"":0.7750295707775907,""npmi"":0.5403399947963402,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.11307714545548453,""dominant_support"":[21,3,19,24,2,17,3]},{""k"":8,""selection_score"":0.786845874453431,""npmi"":0.5910971711315991,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.12417626818074157,""dominant_support"":[21,4,17,13,2,17,2,13]},{""k"":9,""selection_score"":0.7916621020645289,""npmi"":0.6220393977722728,""support_fraction"":1.0,""topic_diversity"":0.9861111111111112,""reconstruction"":0.13354666858567987,""dominant_support"":[12,3,16,13,23,16,2,2,2]},{""k"":10,""selection_score"":0.7910222745504142,""npmi"":0.6230180302227237,""support_fraction"":1.0,""topic_diversity"":0.975,""reconstruction"":0.14279112337246258,""dominant_support"":[21,3,15,13,2,12,2,13,3,5]},{""k"":11,""selection_score"":0.7909275116240272,""npmi"":0.6018555946003741,""support_fraction"":1.0,""topic_diversity"":0.9886363636363636,""reconstruction"":0.15219413317786412,""dominant_support"":[10,3,7,12,2,13,22,2,5,8,5]},{""k"":12,""selection_score"":0.7876284258421964,""npmi"":0.5885084978869125,""support_fraction"":1.0,""topic_diversity"":0.9791666666666666,""reconstruction"":0.16062261954320423,""dominant_support"":[3,3,8,11,2,11,2,11,8,15,3,12]},{""k"":13,""selection_score"":0.7971323620318032,""npmi"":0.6285462784102902,""support_fraction"":1.0,""topic_diversity"":0.9807692307692307,""reconstruction"":0.16846173463932657,""dominant_support"":[11,3,8,13,3,12,2,3,7,3,6,4,14]},{""k"":14,""selection_score"":0.7990514068264167,""npmi"":0.6297180005107496,""support_fraction"":1.0,""topic_diversity"":0.9821428571428571,""reconstruction"":0.17786156863796898,""dominant_support"":[13,3,8,10,3,12,3,2,7,4,4,2,14,4]}],""selected_k"":14,""project_count"":89,""opportunity_count"":187,""vocabulary_size"":7763}}",2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,domain,1,eb / pacientes eb / bolhosa,"[""eb"",""pacientes eb"",""bolhosa"",""epidermolise"",""epidermolise bolhosa"",""microbioma"",""nanoprodutos"",""microbiota intestinal"",""feridas"",""feridas cutaneas""]","{""space_diagnostics"":{""candidates"":[{""k"":6,""selection_score"":0.7613326932091351,""npmi"":0.4796716654853286,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.10265573408046202,""dominant_support"":[22,5,18,25,2,17]},{""k"":7,""selection_score"":0.7750295707775907,""npmi"":0.5403399947963402,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.11307714545548453,""dominant_support"":[21,3,19,24,2,17,3]},{""k"":8,""selection_score"":0.786845874453431,""npmi"":0.5910971711315991,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.12417626818074157,""dominant_support"":[21,4,17,13,2,17,2,13]},{""k"":9,""selection_score"":0.7916621020645289,""npmi"":0.6220393977722728,""support_fraction"":1.0,""topic_diversity"":0.9861111111111112,""reconstruction"":0.13354666858567987,""dominant_support"":[12,3,16,13,23,16,2,2,2]},{""k"":10,""selection_score"":0.7910222745504142,""npmi"":0.6230180302227237,""support_fraction"":1.0,""topic_diversity"":0.975,""reconstruction"":0.14279112337246258,""dominant_support"":[21,3,15,13,2,12,2,13,3,5]},{""k"":11,""selection_score"":0.7909275116240272,""npmi"":0.6018555946003741,""support_fraction"":1.0,""topic_diversity"":0.9886363636363636,""reconstruction"":0.15219413317786412,""dominant_support"":[10,3,7,12,2,13,22,2,5,8,5]},{""k"":12,""selection_score"":0.7876284258421964,""npmi"":0.5885084978869125,""support_fraction"":1.0,""topic_diversity"":0.9791666666666666,""reconstruction"":0.16062261954320423,""dominant_support"":[3,3,8,11,2,11,2,11,8,15,3,12]},{""k"":13,""selection_score"":0.7971323620318032,""npmi"":0.6285462784102902,""support_fraction"":1.0,""topic_diversity"":0.9807692307692307,""reconstruction"":0.16846173463932657,""dominant_support"":[11,3,8,13,3,12,2,3,7,3,6,4,14]},{""k"":14,""selection_score"":0.7990514068264167,""npmi"":0.6297180005107496,""support_fraction"":1.0,""topic_diversity"":0.9821428571428571,""reconstruction"":0.17786156863796898,""dominant_support"":[13,3,8,10,3,12,3,2,7,4,4,2,14,4]}],""selected_k"":14,""project_count"":89,""opportunity_count"":187,""vocabulary_size"":7763}}",2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,domain,2,mellonella / experimental / larvas mellonella,"[""mellonella"",""experimental"",""larvas mellonella"",""neuronal"",""larvas"",""galleria mellonella"",""galleria"",""hemocitos"",""estresse"",""drosophila""]","{""space_diagnostics"":{""candidates"":[{""k"":6,""selection_score"":0.7613326932091351,""npmi"":0.4796716654853286,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.10265573408046202,""dominant_support"":[22,5,18,25,2,17]},{""k"":7,""selection_score"":0.7750295707775907,""npmi"":0.5403399947963402,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.11307714545548453,""dominant_support"":[21,3,19,24,2,17,3]},{""k"":8,""selection_score"":0.786845874453431,""npmi"":0.5910971711315991,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.12417626818074157,""dominant_support"":[21,4,17,13,2,17,2,13]},{""k"":9,""selection_score"":0.7916621020645289,""npmi"":0.6220393977722728,""support_fraction"":1.0,""topic_diversity"":0.9861111111111112,""reconstruction"":0.13354666858567987,""dominant_support"":[12,3,16,13,23,16,2,2,2]},{""k"":10,""selection_score"":0.7910222745504142,""npmi"":0.6230180302227237,""support_fraction"":1.0,""topic_diversity"":0.975,""reconstruction"":0.14279112337246258,""dominant_support"":[21,3,15,13,2,12,2,13,3,5]},{""k"":11,""selection_score"":0.7909275116240272,""npmi"":0.6018555946003741,""support_fraction"":1.0,""topic_diversity"":0.9886363636363636,""reconstruction"":0.15219413317786412,""dominant_support"":[10,3,7,12,2,13,22,2,5,8,5]},{""k"":12,""selection_score"":0.7876284258421964,""npmi"":0.5885084978869125,""support_fraction"":1.0,""topic_diversity"":0.9791666666666666,""reconstruction"":0.16062261954320423,""dominant_support"":[3,3,8,11,2,11,2,11,8,15,3,12]},{""k"":13,""selection_score"":0.7971323620318032,""npmi"":0.6285462784102902,""support_fraction"":1.0,""topic_diversity"":0.9807692307692307,""reconstruction"":0.16846173463932657,""dominant_support"":[11,3,8,13,3,12,2,3,7,3,6,4,14]},{""k"":14,""selection_score"":0.7990514068264167,""npmi"":0.6297180005107496,""support_fraction"":1.0,""topic_diversity"":0.9821428571428571,""reconstruction"":0.17786156863796898,""dominant_support"":[13,3,8,10,3,12,3,2,7,4,4,2,14,4]}],""selected_k"":14,""project_count"":89,""opportunity_count"":187,""vocabulary_size"":7763}}",2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,domain,3,apa / costa / corais,"[""apa"",""costa"",""corais"",""costa corais"",""apa costa"",""especies"",""ecossistemas"",""conservacao"",""costeiros"",""ecologia""]","{""space_diagnostics"":{""candidates"":[{""k"":6,""selection_score"":0.7613326932091351,""npmi"":0.4796716654853286,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.10265573408046202,""dominant_support"":[22,5,18,25,2,17]},{""k"":7,""selection_score"":0.7750295707775907,""npmi"":0.5403399947963402,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.11307714545548453,""dominant_support"":[21,3,19,24,2,17,3]},{""k"":8,""selection_score"":0.786845874453431,""npmi"":0.5910971711315991,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.12417626818074157,""dominant_support"":[21,4,17,13,2,17,2,13]},{""k"":9,""selection_score"":0.7916621020645289,""npmi"":0.6220393977722728,""support_fraction"":1.0,""topic_diversity"":0.9861111111111112,""reconstruction"":0.13354666858567987,""dominant_support"":[12,3,16,13,23,16,2,2,2]},{""k"":10,""selection_score"":0.7910222745504142,""npmi"":0.6230180302227237,""support_fraction"":1.0,""topic_diversity"":0.975,""reconstruction"":0.14279112337246258,""dominant_support"":[21,3,15,13,2,12,2,13,3,5]},{""k"":11,""selection_score"":0.7909275116240272,""npmi"":0.6018555946003741,""support_fraction"":1.0,""topic_diversity"":0.9886363636363636,""reconstruction"":0.15219413317786412,""dominant_support"":[10,3,7,12,2,13,22,2,5,8,5]},{""k"":12,""selection_score"":0.7876284258421964,""npmi"":0.5885084978869125,""support_fraction"":1.0,""topic_diversity"":0.9791666666666666,""reconstruction"":0.16062261954320423,""dominant_support"":[3,3,8,11,2,11,2,11,8,15,3,12]},{""k"":13,""selection_score"":0.7971323620318032,""npmi"":0.6285462784102902,""support_fraction"":1.0,""topic_diversity"":0.9807692307692307,""reconstruction"":0.16846173463932657,""dominant_support"":[11,3,8,13,3,12,2,3,7,3,6,4,14]},{""k"":14,""selection_score"":0.7990514068264167,""npmi"":0.6297180005107496,""support_fraction"":1.0,""topic_diversity"":0.9821428571428571,""reconstruction"":0.17786156863796898,""dominant_support"":[13,3,8,10,3,12,3,2,7,4,4,2,14,4]}],""selected_k"":14,""project_count"":89,""opportunity_count"":187,""vocabulary_size"":7763}}",2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,domain,4,saude unica / toxoplasmose / gondii,"[""saude unica"",""toxoplasmose"",""gondii"",""solo"",""contaminacao"",""unica"",""mesorregioes"",""infectantes"",""toxoplasma"",""toxoplasma gondii""]","{""space_diagnostics"":{""candidates"":[{""k"":6,""selection_score"":0.7613326932091351,""npmi"":0.4796716654853286,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.10265573408046202,""dominant_support"":[22,5,18,25,2,17]},{""k"":7,""selection_score"":0.7750295707775907,""npmi"":0.5403399947963402,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.11307714545548453,""dominant_support"":[21,3,19,24,2,17,3]},{""k"":8,""selection_score"":0.786845874453431,""npmi"":0.5910971711315991,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.12417626818074157,""dominant_support"":[21,4,17,13,2,17,2,13]},{""k"":9,""selection_score"":0.7916621020645289,""npmi"":0.6220393977722728,""support_fraction"":1.0,""topic_diversity"":0.9861111111111112,""reconstruction"":0.13354666858567987,""dominant_support"":[12,3,16,13,23,16,2,2,2]},{""k"":10,""selection_score"":0.7910222745504142,""npmi"":0.6230180302227237,""support_fraction"":1.0,""topic_diversity"":0.975,""reconstruction"":0.14279112337246258,""dominant_support"":[21,3,15,13,2,12,2,13,3,5]},{""k"":11,""selection_score"":0.7909275116240272,""npmi"":0.6018555946003741,""support_fraction"":1.0,""topic_diversity"":0.9886363636363636,""reconstruction"":0.15219413317786412,""dominant_support"":[10,3,7,12,2,13,22,2,5,8,5]},{""k"":12,""selection_score"":0.7876284258421964,""npmi"":0.5885084978869125,""support_fraction"":1.0,""topic_diversity"":0.9791666666666666,""reconstruction"":0.16062261954320423,""dominant_support"":[3,3,8,11,2,11,2,11,8,15,3,12]},{""k"":13,""selection_score"":0.7971323620318032,""npmi"":0.6285462784102902,""support_fraction"":1.0,""topic_diversity"":0.9807692307692307,""reconstruction"":0.16846173463932657,""dominant_support"":[11,3,8,13,3,12,2,3,7,3,6,4,14]},{""k"":14,""selection_score"":0.7990514068264167,""npmi"":0.6297180005107496,""support_fraction"":1.0,""topic_diversity"":0.9821428571428571,""reconstruction"":0.17786156863796898,""dominant_support"":[13,3,8,10,3,12,3,2,7,4,4,2,14,4]}],""selected_k"":14,""project_count"":89,""opportunity_count"":187,""vocabulary_size"":7763}}",2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,domain,5,desfechos / pulso / arterial,"[""desfechos"",""pulso"",""arterial"",""onda pulso"",""onda"",""desfechos clinicos"",""metanalise"",""vop"",""revisao sistematica"",""sistematica metanalise""]","{""space_diagnostics"":{""candidates"":[{""k"":6,""selection_score"":0.7613326932091351,""npmi"":0.4796716654853286,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.10265573408046202,""dominant_support"":[22,5,18,25,2,17]},{""k"":7,""selection_score"":0.7750295707775907,""npmi"":0.5403399947963402,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.11307714545548453,""dominant_support"":[21,3,19,24,2,17,3]},{""k"":8,""selection_score"":0.786845874453431,""npmi"":0.5910971711315991,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.12417626818074157,""dominant_support"":[21,4,17,13,2,17,2,13]},{""k"":9,""selection_score"":0.7916621020645289,""npmi"":0.6220393977722728,""support_fraction"":1.0,""topic_diversity"":0.9861111111111112,""reconstruction"":0.13354666858567987,""dominant_support"":[12,3,16,13,23,16,2,2,2]},{""k"":10,""selection_score"":0.7910222745504142,""npmi"":0.6230180302227237,""support_fraction"":1.0,""topic_diversity"":0.975,""reconstruction"":0.14279112337246258,""dominant_support"":[21,3,15,13,2,12,2,13,3,5]},{""k"":11,""selection_score"":0.7909275116240272,""npmi"":0.6018555946003741,""support_fraction"":1.0,""topic_diversity"":0.9886363636363636,""reconstruction"":0.15219413317786412,""dominant_support"":[10,3,7,12,2,13,22,2,5,8,5]},{""k"":12,""selection_score"":0.7876284258421964,""npmi"":0.5885084978869125,""support_fraction"":1.0,""topic_diversity"":0.9791666666666666,""reconstruction"":0.16062261954320423,""dominant_support"":[3,3,8,11,2,11,2,11,8,15,3,12]},{""k"":13,""selection_score"":0.7971323620318032,""npmi"":0.6285462784102902,""support_fraction"":1.0,""topic_diversity"":0.9807692307692307,""reconstruction"":0.16846173463932657,""dominant_support"":[11,3,8,13,3,12,2,3,7,3,6,4,14]},{""k"":14,""selection_score"":0.7990514068264167,""npmi"":0.6297180005107496,""support_fraction"":1.0,""topic_diversity"":0.9821428571428571,""reconstruction"":0.17786156863796898,""dominant_support"":[13,3,8,10,3,12,3,2,7,4,4,2,14,4]}],""selected_k"":14,""project_count"":89,""opportunity_count"":187,""vocabulary_size"":7763}}",2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,domain,6,esquistossomose / mansoni / ovos,"[""esquistossomose"",""mansoni"",""ovos"",""doentes"",""cercaria"",""hospedeiro"",""endemicas"",""parasitos"",""moluscos"",""homem""]","{""space_diagnostics"":{""candidates"":[{""k"":6,""selection_score"":0.7613326932091351,""npmi"":0.4796716654853286,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.10265573408046202,""dominant_support"":[22,5,18,25,2,17]},{""k"":7,""selection_score"":0.7750295707775907,""npmi"":0.5403399947963402,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.11307714545548453,""dominant_support"":[21,3,19,24,2,17,3]},{""k"":8,""selection_score"":0.786845874453431,""npmi"":0.5910971711315991,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.12417626818074157,""dominant_support"":[21,4,17,13,2,17,2,13]},{""k"":9,""selection_score"":0.7916621020645289,""npmi"":0.6220393977722728,""support_fraction"":1.0,""topic_diversity"":0.9861111111111112,""reconstruction"":0.13354666858567987,""dominant_support"":[12,3,16,13,23,16,2,2,2]},{""k"":10,""selection_score"":0.7910222745504142,""npmi"":0.6230180302227237,""support_fraction"":1.0,""topic_diversity"":0.975,""reconstruction"":0.14279112337246258,""dominant_support"":[21,3,15,13,2,12,2,13,3,5]},{""k"":11,""selection_score"":0.7909275116240272,""npmi"":0.6018555946003741,""support_fraction"":1.0,""topic_diversity"":0.9886363636363636,""reconstruction"":0.15219413317786412,""dominant_support"":[10,3,7,12,2,13,22,2,5,8,5]},{""k"":12,""selection_score"":0.7876284258421964,""npmi"":0.5885084978869125,""support_fraction"":1.0,""topic_diversity"":0.9791666666666666,""reconstruction"":0.16062261954320423,""dominant_support"":[3,3,8,11,2,11,2,11,8,15,3,12]},{""k"":13,""selection_score"":0.7971323620318032,""npmi"":0.6285462784102902,""support_fraction"":1.0,""topic_diversity"":0.9807692307692307,""reconstruction"":0.16846173463932657,""dominant_support"":[11,3,8,13,3,12,2,3,7,3,6,4,14]},{""k"":14,""selection_score"":0.7990514068264167,""npmi"":0.6297180005107496,""support_fraction"":1.0,""topic_diversity"":0.9821428571428571,""reconstruction"":0.17786156863796898,""dominant_support"":[13,3,8,10,3,12,3,2,7,4,4,2,14,4]}],""selected_k"":14,""project_count"":89,""opportunity_count"":187,""vocabulary_size"":7763}}",2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,domain,7,mps / placenta / poliestireno,"[""mps"",""placenta"",""poliestireno"",""particulas"",""mps poliestireno"",""vilosidades"",""placentaria"",""corionicas"",""vilosidades corionicas"",""perfusao""]","{""space_diagnostics"":{""candidates"":[{""k"":6,""selection_score"":0.7613326932091351,""npmi"":0.4796716654853286,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.10265573408046202,""dominant_support"":[22,5,18,25,2,17]},{""k"":7,""selection_score"":0.7750295707775907,""npmi"":0.5403399947963402,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.11307714545548453,""dominant_support"":[21,3,19,24,2,17,3]},{""k"":8,""selection_score"":0.786845874453431,""npmi"":0.5910971711315991,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.12417626818074157,""dominant_support"":[21,4,17,13,2,17,2,13]},{""k"":9,""selection_score"":0.7916621020645289,""npmi"":0.6220393977722728,""support_fraction"":1.0,""topic_diversity"":0.9861111111111112,""reconstruction"":0.13354666858567987,""dominant_support"":[12,3,16,13,23,16,2,2,2]},{""k"":10,""selection_score"":0.7910222745504142,""npmi"":0.6230180302227237,""support_fraction"":1.0,""topic_diversity"":0.975,""reconstruction"":0.14279112337246258,""dominant_support"":[21,3,15,13,2,12,2,13,3,5]},{""k"":11,""selection_score"":0.7909275116240272,""npmi"":0.6018555946003741,""support_fraction"":1.0,""topic_diversity"":0.9886363636363636,""reconstruction"":0.15219413317786412,""dominant_support"":[10,3,7,12,2,13,22,2,5,8,5]},{""k"":12,""selection_score"":0.7876284258421964,""npmi"":0.5885084978869125,""support_fraction"":1.0,""topic_diversity"":0.9791666666666666,""reconstruction"":0.16062261954320423,""dominant_support"":[3,3,8,11,2,11,2,11,8,15,3,12]},{""k"":13,""selection_score"":0.7971323620318032,""npmi"":0.6285462784102902,""support_fraction"":1.0,""topic_diversity"":0.9807692307692307,""reconstruction"":0.16846173463932657,""dominant_support"":[11,3,8,13,3,12,2,3,7,3,6,4,14]},{""k"":14,""selection_score"":0.7990514068264167,""npmi"":0.6297180005107496,""support_fraction"":1.0,""topic_diversity"":0.9821428571428571,""reconstruction"":0.17786156863796898,""dominant_support"":[13,3,8,10,3,12,3,2,7,4,4,2,14,4]}],""selected_k"":14,""project_count"":89,""opportunity_count"":187,""vocabulary_size"":7763}}",2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,domain,8,macrofagos / uvaol / ativacao,"[""macrofagos"",""uvaol"",""ativacao"",""celulas"",""tgf-"",""estimulados"",""anti-inflamatorios"",""pro-inflamatorios"",""mediadores"",""thp-1""]","{""space_diagnostics"":{""candidates"":[{""k"":6,""selection_score"":0.7613326932091351,""npmi"":0.4796716654853286,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.10265573408046202,""dominant_support"":[22,5,18,25,2,17]},{""k"":7,""selection_score"":0.7750295707775907,""npmi"":0.5403399947963402,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.11307714545548453,""dominant_support"":[21,3,19,24,2,17,3]},{""k"":8,""selection_score"":0.786845874453431,""npmi"":0.5910971711315991,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.12417626818074157,""dominant_support"":[21,4,17,13,2,17,2,13]},{""k"":9,""selection_score"":0.7916621020645289,""npmi"":0.6220393977722728,""support_fraction"":1.0,""topic_diversity"":0.9861111111111112,""reconstruction"":0.13354666858567987,""dominant_support"":[12,3,16,13,23,16,2,2,2]},{""k"":10,""selection_score"":0.7910222745504142,""npmi"":0.6230180302227237,""support_fraction"":1.0,""topic_diversity"":0.975,""reconstruction"":0.14279112337246258,""dominant_support"":[21,3,15,13,2,12,2,13,3,5]},{""k"":11,""selection_score"":0.7909275116240272,""npmi"":0.6018555946003741,""support_fraction"":1.0,""topic_diversity"":0.9886363636363636,""reconstruction"":0.15219413317786412,""dominant_support"":[10,3,7,12,2,13,22,2,5,8,5]},{""k"":12,""selection_score"":0.7876284258421964,""npmi"":0.5885084978869125,""support_fraction"":1.0,""topic_diversity"":0.9791666666666666,""reconstruction"":0.16062261954320423,""dominant_support"":[3,3,8,11,2,11,2,11,8,15,3,12]},{""k"":13,""selection_score"":0.7971323620318032,""npmi"":0.6285462784102902,""support_fraction"":1.0,""topic_diversity"":0.9807692307692307,""reconstruction"":0.16846173463932657,""dominant_support"":[11,3,8,13,3,12,2,3,7,3,6,4,14]},{""k"":14,""selection_score"":0.7990514068264167,""npmi"":0.6297180005107496,""support_fraction"":1.0,""topic_diversity"":0.9821428571428571,""reconstruction"":0.17786156863796898,""dominant_support"":[13,3,8,10,3,12,3,2,7,4,4,2,14,4]}],""selected_k"":14,""project_count"":89,""opportunity_count"":187,""vocabulary_size"":7763}}",2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,domain,9,laudos / dna-hpv / bolsista,"[""laudos"",""dna-hpv"",""bolsista"",""hpv"",""classificacao"",""coleta organizacao"",""elaboracao tabelas"",""colo"",""cancer colo"",""colo utero""]","{""space_diagnostics"":{""candidates"":[{""k"":6,""selection_score"":0.7613326932091351,""npmi"":0.4796716654853286,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.10265573408046202,""dominant_support"":[22,5,18,25,2,17]},{""k"":7,""selection_score"":0.7750295707775907,""npmi"":0.5403399947963402,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.11307714545548453,""dominant_support"":[21,3,19,24,2,17,3]},{""k"":8,""selection_score"":0.786845874453431,""npmi"":0.5910971711315991,""support_fraction"":1.0,""topic_diversity"":1.0,""reconstruction"":0.12417626818074157,""dominant_support"":[21,4,17,13,2,17,2,13]},{""k"":9,""selection_score"":0.7916621020645289,""npmi"":0.6220393977722728,""support_fraction"":1.0,""topic_diversity"":0.9861111111111112,""reconstruction"":0.13354666858567987,""dominant_support"":[12,3,16,13,23,16,2,2,2]},{""k"":10,""selection_score"":0.7910222745504142,""npmi"":0.6230180302227237,""support_fraction"":1.0,""topic_diversity"":0.975,""reconstruction"":0.14279112337246258,""dominant_support"":[21,3,15,13,2,12,2,13,3,5]},{""k"":11,""selection_score"":0.7909275116240272,""npmi"":0.6018555946003741,""support_fraction"":1.0,""topic_diversity"":0.9886363636363636,""reconstruction"":0.15219413317786412,""dominant_support"":[10,3,7,12,2,13,22,2,5,8,5]},{""k"":12,""selection_score"":0.7876284258421964,""npmi"":0.5885084978869125,""support_fraction"":1.0,""topic_diversity"":0.9791666666666666,""reconstruction"":0.16062261954320423,""dominant_support"":[3,3,8,11,2,11,2,11,8,15,3,12]},{""k"":13,""selection_score"":0.7971323620318032,""npmi"":0.6285462784102902,""support_fraction"":1.0,""topic_diversity"":0.9807692307692307,""reconstruction"":0.16846173463932657,""dominant_support"":[11,3,8,13,3,12,2,3,7,3,6,4,14]},{""k"":14,""selection_score"":0.7990514068264167,""npmi"":0.6297180005107496,""support_fraction"":1.0,""topic_diversity"":0.9821428571428571,""reconstruction"":0.17786156863796898,""dominant_support"":[13,3,8,10,3,12,3,2,7,4,4,2,14,4]}],""selected_k"":14,""project_count"":89,""opportunity_count"":187,""vocabulary_size"":7763}}",2026-09-04T06:34:12+00:00
